"id","idade","sexo","dependentes","escolaridade","estado_civil","salario_anual","tipo_cartao","meses_de_relacionamento","qtd_produtos","iteracoes_12m","meses_inativo_12m","limite_credito","valor_transacoes_12m","qtd_transacoes_12m"
"768,805,383.00","45.00","M","3.00","ensino medio","casado","$60K - $80K","blue","39.00","5.00","3.00","1.00","12,691.51","1,144.90","42.00"
"818,770,008.00","49.00","F","5.00","mestrado","solteiro","menos que $40K","blue","44.00","6.00","2.00","1.00","8,256.96","1,291.45","33.00"
"713,982,108.00","51.00","M","3.00","mestrado","casado","$80K - $120K","blue","36.00","4.00","0.00","1.00","3,418.56","1,887.72","20.00"
"769,911,858.00","40.00","F","4.00","ensino medio","na","menos que $40K","blue","34.00","3.00","1.00","4.00","3,313.03","1,171.56","20.00"
"709,106,358.00","40.00","M","3.00","sem educacao formal","casado","$60K - $80K","blue","21.00","5.00","0.00","1.00","4,716.22","816.08","28.00"
"713,061,558.00","44.00","M","2.00","mestrado","casado","$40K - $60K","blue","36.00","3.00","2.00","1.00","4,010.69","1,088.07","24.00"
"810,347,208.00","51.00","M","4.00","na","casado","$120K +","gold","46.00","6.00","3.00","1.00","34,516.72","1,330.87","31.00"
"818,906,208.00","32.00","M","0.00","ensino medio","na","$60K - $80K","silver","27.00","2.00","2.00","2.00","29,081.49","1,538.32","36.00"
"710,930,508.00","37.00","M","3.00","sem educacao formal","solteiro","$60K - $80K","blue","36.00","5.00","0.00","2.00","22,352.50","1,350.14","24.00"
"719,661,558.00","48.00","M","2.00","mestrado","solteiro","$80K - $120K","blue","36.00","6.00","3.00","3.00","11,656.41","1,441.73","32.00"
"708,790,833.00","42.00","M","5.00","sem educacao formal","na","$120K +","blue","31.00","5.00","2.00","3.00","6,748.40","1,201.27","42.00"
"710,821,833.00","65.00","M","1.00","na","casado","$40K - $60K","blue","54.00","6.00","3.00","2.00","9,095.59","1,314.42","26.00"
"710,599,683.00","56.00","M","1.00","graduacao","solteiro","$80K - $120K","blue","36.00","3.00","0.00","6.00","11,751.09","1,539.95","17.00"
"816,082,233.00","35.00","M","3.00","mestrado","na","$60K - $80K","blue","30.00","5.00","3.00","1.00","8,547.74","1,311.48","33.00"
"712,396,908.00","57.00","F","2.00","mestrado","casado","menos que $40K","blue","48.00","5.00","2.00","2.00","2,436.00","1,570.23","29.00"
"714,885,258.00","44.00","M","4.00","na","na","$80K - $120K","blue","37.00","5.00","2.00","1.00","4,234.96","1,348.10","27.00"
"709,967,358.00","48.00","M","4.00","doutorado","solteiro","$80K - $120K","blue","36.00","6.00","3.00","2.00","30,367.57","1,671.12","27.00"
"753,327,333.00","41.00","M","3.00","na","casado","$80K - $120K","blue","34.00","4.00","1.00","4.00","13,535.91","1,028.75","21.00"
"806,160,108.00","61.00","M","1.00","ensino medio","casado","$40K - $60K","blue","56.00","2.00","3.00","2.00","3,193.51","1,336.54","30.00"
"709,327,383.00","45.00","F","2.00","mestrado","casado","na","blue","37.00","6.00","2.00","1.00","14,470.78","1,207.79","21.00"
"806,165,208.00","47.00","M","1.00","doutorado","divorciado","$60K - $80K","blue","42.00","5.00","0.00","2.00","20,979.05","1,178.72","27.00"
"708,508,758.00","62.00","F","0.00","mestrado","casado","menos que $40K","blue","49.00","2.00","3.00","3.00","1,438.73","692.25","16.00"
