id,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
1,45.00,M,3.00,ensino medio,casado,$60K - $80K,blue,39.00,5.00,3.00,1.00,"12,691.51","1,144.90",42.00
2,49.00,F,5.00,mestrado,solteiro,menos que $40K,blue,44.00,6.00,2.00,1.00,"8,256.96","1,291.45",33.00
3,51.00,M,3.00,mestrado,casado,$80K - $120K,blue,36.00,4.00,.00,1.00,"3,418.56","1,887.72",20.00
4,40.00,F,4.00,ensino medio,na,menos que $40K,blue,34.00,3.00,1.00,4.00,"3,313.03","1,171.56",20.00
5,40.00,M,3.00,sem educacao formal,casado,$60K - $80K,blue,21.00,5.00,.00,1.00,"4,716.22",816.08,28.00
6,44.00,M,2.00,mestrado,casado,$40K - $60K,blue,36.00,3.00,2.00,1.00,"4,010.69","1,088.07",24.00
7,51.00,M,4.00,na,casado,$120K +,gold,46.00,6.00,3.00,1.00,"34,516.72","1,330.87",31.00
8,32.00,M,.00,ensino medio,na,$60K - $80K,silver,27.00,2.00,2.00,2.00,"29,081.49","1,538.32",36.00
9,37.00,M,3.00,sem educacao formal,solteiro,$60K - $80K,blue,36.00,5.00,.00,2.00,"22,352.50","1,350.14",24.00
10,48.00,M,2.00,mestrado,solteiro,$80K - $120K,blue,36.00,6.00,3.00,3.00,"11,656.41","1,441.73",32.00
11,42.00,M,5.00,sem educacao formal,na,$120K +,blue,31.00,5.00,2.00,3.00,"6,748.40","1,201.27",42.00
12,65.00,M,1.00,na,casado,$40K - $60K,blue,54.00,6.00,3.00,2.00,"9,095.59","1,314.42",26.00
13,56.00,M,1.00,graduacao,solteiro,$80K - $120K,blue,36.00,3.00,.00,6.00,"11,751.09","1,539.95",17.00
14,35.00,M,3.00,mestrado,na,$60K - $80K,blue,30.00,5.00,3.00,1.00,"8,547.74","1,311.48",33.00
15,57.00,F,2.00,mestrado,casado,menos que $40K,blue,48.00,5.00,2.00,2.00,"2,436.00","1,570.23",29.00
16,44.00,M,4.00,na,na,$80K - $120K,blue,37.00,5.00,2.00,1.00,"4,234.96","1,348.10",27.00
17,48.00,M,4.00,doutorado,solteiro,$80K - $120K,blue,36.00,6.00,3.00,2.00,"30,367.57","1,671.12",27.00
18,41.00,M,3.00,na,casado,$80K - $120K,blue,34.00,4.00,1.00,4.00,"13,535.91","1,028.75",21.00
19,61.00,M,1.00,ensino medio,casado,$40K - $60K,blue,56.00,2.00,3.00,2.00,"3,193.51","1,336.54",30.00
20,45.00,F,2.00,mestrado,casado,na,blue,37.00,6.00,2.00,1.00,"14,470.78","1,207.79",21.00
21,47.00,M,1.00,doutorado,divorciado,$60K - $80K,blue,42.00,5.00,.00,2.00,"20,979.05","1,178.72",27.00
22,62.00,F,.00,mestrado,casado,menos que $40K,blue,49.00,2.00,3.00,3.00,"1,438.73",692.25,16.00
23,41.00,M,3.00,ensino medio,casado,$40K - $60K,blue,33.00,4.00,1.00,2.00,"4,470.45",931.04,18.00
24,47.00,F,4.00,na,solteiro,menos que $40K,blue,36.00,3.00,2.00,3.00,"2,492.08","1,126.97",23.00
25,54.00,M,2.00,na,casado,$80K - $120K,blue,42.00,4.00,3.00,2.00,"12,217.38","1,110.07",21.00
26,41.00,F,3.00,mestrado,solteiro,menos que $40K,blue,28.00,6.00,2.00,1.00,"7,768.43","1,052.00",22.00
27,59.00,M,1.00,ensino medio,na,$40K - $60K,blue,46.00,4.00,2.00,1.00,"14,784.12","1,197.92",23.00
28,63.00,M,1.00,na,casado,$60K - $80K,blue,56.00,3.00,2.00,3.00,"10,215.26","1,904.01",40.00
29,44.00,F,3.00,sem educacao formal,solteiro,na,blue,34.00,5.00,2.00,2.00,"10,100.66","1,052.46",18.00
30,47.00,M,4.00,ensino medio,casado,$40K - $60K,blue,42.00,6.00,.00,.00,"4,785.24","1,045.67",38.00
31,53.00,M,3.00,na,casado,$80K - $120K,blue,33.00,3.00,3.00,2.00,"2,753.96","1,038.80",25.00
32,53.00,M,2.00,sem educacao formal,casado,$60K - $80K,blue,48.00,2.00,1.00,5.00,"2,451.40","1,596.34",26.00
33,41.00,M,4.00,mestrado,casado,$60K - $80K,blue,36.00,4.00,2.00,1.00,"8,923.23","1,589.11",24.00
34,53.00,F,2.00,graduacao,casado,menos que $40K,blue,38.00,5.00,3.00,2.00,"2,650.38","1,411.63",28.00
35,58.00,M,.00,mestrado,casado,$80K - $120K,blue,49.00,6.00,2.00,2.00,"12,555.16","1,291.68",24.00
36,55.00,F,1.00,graduacao,solteiro,menos que $40K,blue,36.00,4.00,1.00,2.00,"3,520.61","1,407.71",43.00
37,55.00,F,3.00,mestrado,casado,menos que $40K,blue,36.00,6.00,3.00,2.00,"3,035.78","1,877.05",37.00
38,42.00,F,4.00,ensino medio,casado,menos que $40K,gold,36.00,2.00,3.00,3.00,"15,433.35",966.80,22.00
39,57.00,F,1.00,mestrado,na,$40K - $60K,blue,49.00,3.00,2.00,3.00,"3,672.19","1,464.46",28.00
40,66.00,F,.00,doutorado,casado,na,blue,56.00,5.00,3.00,4.00,"7,882.47",704.78,16.00
41,45.00,M,3.00,mestrado,solteiro,$80K - $120K,blue,41.00,2.00,2.00,2.00,"32,426.29","1,109.51",28.00
42,51.00,M,2.00,na,casado,$40K - $60K,blue,44.00,4.00,.00,1.00,"6,205.02","1,347.47",28.00
43,50.00,F,1.00,graduacao,solteiro,$40K - $60K,silver,43.00,3.00,3.00,2.00,"17,304.68","1,756.00",33.00
44,49.00,M,3.00,ensino medio,casado,$60K - $80K,blue,37.00,5.00,1.00,2.00,"3,906.40","1,756.49",32.00
45,38.00,F,4.00,mestrado,solteiro,na,blue,28.00,2.00,3.00,3.00,"9,830.13","1,042.80",23.00
46,49.00,M,4.00,sem educacao formal,solteiro,$80K - $120K,blue,30.00,3.00,3.00,2.00,"34,516.07","1,444.77",28.00
47,56.00,M,2.00,doutorado,casado,$60K - $80K,blue,45.00,6.00,.00,2.00,"2,283.59","1,741.52",27.00
48,59.00,M,1.00,doutorado,casado,$40K - $60K,blue,52.00,3.00,2.00,2.00,"2,548.58","1,719.18",27.00
49,46.00,M,3.00,ensino medio,casado,$80K - $120K,blue,40.00,4.00,3.00,3.00,"19,458.61","1,217.71",27.00
50,52.00,M,1.00,graduacao,solteiro,$80K - $120K,blue,40.00,5.00,1.00,1.00,"4,745.36","1,140.09",40.00
51,52.00,F,3.00,na,casado,menos que $40K,blue,41.00,6.00,2.00,3.00,"2,622.45","1,878.14",30.00
52,54.00,F,1.00,mestrado,casado,menos que $40K,blue,40.00,2.00,1.00,3.00,"1,438.08",705.59,19.00
53,66.00,F,.00,ensino medio,casado,menos que $40K,blue,54.00,3.00,2.00,4.00,"3,171.17","1,946.81",38.00
